English,Pronounciation,Arabic,Lesson
vocabulary words,al mofradat,المُفْرَدَات,1
(one) vocabulary word,al mofrad,المُفْرَد,1
"formal, written (classical) Arabic",al fusha,الفُصْحَى,1
grammar,al qawa'id,القَوَاعِد,1
sentence,jumla,جُمْلَة,1
culture,aththaqafa,الثَّقَافَة,1
literature,al adab,الأَدَب,1
really?,wallah,واللهِ؟,1
United Nations,al umam al muttahida,الأُمَم المُتَّحِدَة,1
which?,ayy,أَيّ؟,1
nationality,jinsiyya,جِنْسِيَّة,1
I study,adrus,أَدْرُس,1
"I live, reside",askun,أَسْكُن,1
"she lives (also, you masc. live)",taskun,تَسْكُن,1
he resides,yaskun,يَسْكُن,1
year,sana,سَنَة,1
really? For real?,sahih,صَحِيح؟!,1
age,umr,عُمْر,1
"she works (also, you masc. work)",ta'mal,تَعْمَل,1
he works,ya'mal,يَعْمَل,1
address,'unwan,عُنْوَان,1
Egyptian,misriyya,مِصْرِيّ / مِصْرِيَّة,1
who?,man?,مَن؟,1
"area, region",mintaqa,مِنْطَقَة,1
the same,nafs al,نَفْس الــــ,1
the same university,nafs al jami'a,نَفْس الجَامِعَة,1
father,walid,وَالِد,1
my father,walidi,وَالِدِي,1
mother,walida,وَالِدَة,1
my mother,walidati,وَالِدَتِي,1
What? (Question without verb),ma?,ما؟,1
What? (Question with verb),madha?,ماذا؟,1
Which?,ayy?,أيّ؟,1
Where?,ayna?,أينَ,1
How?,kayfa?,كَيف,1
